COCONUT_ID,SMILES,Molecular_Weight,NP_Likeness,QED_Score,Synthetic_Accessibility
CNP0266090.1,CC1(C)CC[C@]2(C)CC=C3[C@@H](CC[C@@H]4[C@@]5(C)CCC(=O)C(C)(C)[C@@H]5CC[C@@]34C)[C@@H]2C1,410.68600000000026,3.3641379080305738,0.3697895635924916,4.668749099154804
CNP0047711.0,CC(=NOCON=C(C)C1=CC=CC=C1)C1=CC=CC=C1,282.343,-0.3590928763056142,0.3496436230484689,2.266995701138349
CNP0219032.0,CCCCCCC=CCCCCCCCCCC(=O)OC1C(OC(=O)C(C)=CC=CC(C)=CC=CC(C)=CC=CC=C(C)C=CC=C(C)C=CC=C(C)C(=O)O)OC(CO)C(O)C1O,887.2080000000003,1.4213389497330515,0.0179705824061625,5.415384523500599
CNP0562946.2,CCCCCCCCCCCCCCCC(=O)OC[C@H](COC(=O)CCC)OC(=O)CCCCCCCCC,554.8530000000004,0.3877011117771418,0.0520341250836913,2.7567048369960805
CNP0404107.1,COC(=O)C1=C(CC(C)C)SC(NC(=O)[C@@H](NC2=CC=C3C(=CC2=O)[C@@H](NC(C)=O)CCC2=CC(OC)=C(OC)C(OC)=C23)C(C)C)=N1,680.8240000000002,-0.136554011137502,0.2125745801781909,3.970274885224828
CNP0177142.2,C/C=C(\Cl)C1=CC(=O)[C@@]23C[C@@H]2C(C)(C)O[C@@]3(O)C1=O,282.723,2.1030482899175897,0.7951754087735383,5.406420925513362
CNP0280768.0,CN(C)CCCNC(=O)CCNC1=NC=NC2=C1N=CN2,291.359,-1.3025808647022623,0.6019149739955397,2.575779005047554
CNP0342650.2,CC[C@@H]1C[C@@]23OC(=O)C(=C2O)OC(=O)[C@]2(C)[C@H](CCCC[C@]3(C)C=C1C(=O)O)C(C)=C[C@@H]1[C@@H](OC3OC(C)C(OC(=O)C4=C(C)C=CC=C4OC)C(OC4CC(O)C(OC)C(C)O4)C3O)[C@@H](O)CC[C@H]12,983.1140000000003,1.7829432725552607,0.1100070778614624,5.957282077484488
CNP0590959.0,CC(C)OC1=CC=CC=C1O,152.19299999999998,0.0108662709575363,0.7033715320318145,1.648724951681846
CNP0157549.1,CC#CC#CC#C/C=C/[C@H](O)CCCCO,216.27999999999992,3.003309886342949,0.5333918209772351,4.05068231549846
CNP0331048.2,CC(C)(O)[C@H](CO)C[C@@H](O)[C@](C)(O)C1CC[C@@]2(O)C3=CC(=O)[C@@H]4C[C@@H](O)[C@@H](O)C[C@]4(C)C3CC[C@]12C,510.66800000000035,3.572834687191841,0.2795133310981825,5.396774381318718
CNP0240882.1,COC(=O)C1=C[C@@]2(C)CC[C@@H]3[C@@H](C)C[C@H](OC(C)=O)[C@@]32[C@@H]1C,306.40200000000004,2.8260953660606685,0.7356149633726694,5.113954092376181
CNP0094207.1,CC[C@H](/C=C1\OC(=O)C2=C[C@@H]3CC[C@@]21[C@H]1C2=C(CC[C@@H]31)/C(=C/CCC1CCNCC1)OC2=O)CC1=CC=CC=C1,539.7160000000005,2.869795359091232,0.3969217060281402,6.160389904007292
CNP0504487.0,CCOC(=O)C1=CC2=CC=C(O)C=C2OC1=O,234.20699999999997,0.1406399886179999,0.6314236050936192,2.016613554017315
CNP0303309.1,C/C=C(\C)[C@H](O)[C@H](C)/C=C(C)/C=C/C/C(C)=C/CC1=C(C)C(=O)C(CC)=C(OC)O1,414.58600000000024,2.496023689623064,0.3844848336022083,4.448569231580801
