ChEMBL_ID,SMILES,pIC50,Activity_Label
CHEMBL4871975,Cc1ccc(S(=O)(=O)SCc2ccc(C(C)C)cc2)cc1,7.924453038607469,1
CHEMBL4868918,Cc1ccc(S(=O)(=O)SCc2ccc(C(F)(F)F)cc2)cc1,7.062482107982653,1
CHEMBL4845755,Cc1ccc(S(=O)(=O)SCc2ccc(F)cc2)cc1,6.505149978319906,1
CHEMBL4860610,Cc1ccc(S(=O)(=O)SCc2ccc(OC(F)(F)F)cc2)cc1,6.888065723667318,1
CHEMBL4867081,Cc1ccc(S(=O)(=O)SCc2ccc([N+](=O)[O-])cc2)cc1,6.673050005834001,1
CHEMBL1668334,Cc1ccc([C@@H](C)CC(=O)CC(C)C)cc1,4.088842391260023,0
CHEMBL2234535,Cc1ccc([C@H]2C3=C(CC(C)(C)CC3=O)Nc3nc4c(c(N)c32)CCCC4)cc1,6.639993867770902,1
CHEMBL2234521,Cc1ccc([C@H]2C3=C(CC(C)(C)CC3=O)Oc3nc4c(c(N)c32)CCCC4)cc1,4.28999998644378,0
CHEMBL2413732,Cc1ccc2[nH]c(-c3ccc(O)cc3)nc2c1,4.0,0
CHEMBL2413733,Cc1ccc2[nH]c(-c3ccc(OCCN(C)C)cc3)nc2c1,4.908684840302777,0
CHEMBL2413737,Cc1ccc2[nH]c(-c3ccc(OCCN4CCOCC4)cc3)nc2c1,4.8887374863409345,0
CHEMBL3585374,Cc1ccc2[nH]c3c(c2c1)CN(CCCCCCN1CCc2[nH]c4ccc(C)cc4c2C1)CC3,6.715605893842326,1
CHEMBL4467520,Cc1ccc2[nH]c3c(c2c1)CN(CCCCCN1CCc2[nH]c4ccc(C)cc4c2C1)CC3,6.709965388637482,1
CHEMBL4856643,Cc1ccc2[nH]c3c(c2c1)CN(Cc1ccccc1)CC3,4.454692883534176,0
CHEMBL261855,Cc1ccc2[nH]c3ccncc3c2c1,4.450996737974212,0
CHEMBL6101869,Cc1ccc2[nH]cc(CCNC(=O)Oc3cccc(C(C)N(C)C)c3)c2c1,7.135014539340206,1
CHEMBL6078196,Cc1ccc2[nH]cc(CCNC(=O)Oc3cccc([C@H](C)N(C)C)c3)c2c1,7.261774551857495,1
CHEMBL60119,Cc1ccc2c(N)c3c(nc2c1)CCCC3,7.0,1
CHEMBL4858901,Cc1ccc2c(N)c3c(nc2c1)CCCC3.Cl,7.142667503568732,1
CHEMBL4845734,Cc1ccc2c(N)c3c(nc2c1)CCCCC3.Cl,6.982966660701219,1
CHEMBL4100407,Cc1ccc2c(c1)C(=O)C(=O)N2C(=O)N(C)C,6.840132152907433,1
CHEMBL511921,Cc1ccc2c(c1)C(=O)C(=O)N2Cc1ccc(Br)cc1,6.69000807121882,1
CHEMBL4074655,Cc1ccc2c(c1)C(=O)C(=O)N2Cc1ccccc1[N+](=O)[O-],6.700057099977233,1
CHEMBL157327,Cc1ccc2c(c1)C(=O)C(C)C2,6.790117922852424,1
CHEMBL589390,Cc1ccc2c(c1)c1c(n2CCc2ccc(C)nc2)CCN(C)C1,4.346787486224656,0
CHEMBL2236142,Cc1ccc2cc(C3CC(c4cc(Cl)sc4Cl)=NN3)c(Cl)nc2c1,6.823908740944319,1
CHEMBL2236140,Cc1ccc2cc(C3CC(c4sccc4Cl)=NN3)c(Cl)nc2c1,6.698970004336019,1
CHEMBL40583,Cc1ccc2cc3c(ccc4ccccc43)c3c2c1CC3,4.644299507218118,0
CHEMBL3215816,Cc1ccc2ccc(CNCCCCCCCCNc3c4c(nc5ccccc35)CCCC4)c(O)c2n1.Cl.Cl,9.301029995663981,1
CHEMBL4874576,Cc1ccc2nc3c(c(N)c2c1)CCC3.Cl,5.0,0
CHEMBL4876362,Cc1ccc2nc3c(c(N)c2c1)CCCC3.Cl,4.809668301829708,0
CHEMBL4861913,Cc1ccc2nc3c(c(N)c2c1)CCCCC3.Cl,4.647817481888637,0
CHEMBL5197114,Cc1ccc2nc3c(c(N4CCCCC4)c2c1)CCCC3,6.928117992693875,1
CHEMBL5199187,Cc1ccc2nc3c(c(NCCN4CCOCC4)c2c1)CCCC3,6.882728704344236,1
CHEMBL5190530,Cc1ccc2nc3c(c(NCCO)c2c1)CCCC3,6.7447274948966935,1
CHEMBL433379,Cc1ccc2onc(CCC3CCN(Cc4ccccc4)CC3)c2c1,8.10835186453452,1
CHEMBL3605419,Cc1cccc(-c2nnc(-c3ccc4c(c3)CO[C@@]4(CCCN(C)C)c3ccc(F)cc3)[nH]2)c1,3.875397972106662,0
CHEMBL4566242,Cc1cccc(/C=N/C2CCN(Cc3ccccc3)CC2)c1,4.823908740944319,0
CHEMBL4763376,Cc1cccc(/C=N/NC(=O)N2CCN(c3ccccn3)CC2)c1,5.0,0
CHEMBL4756674,Cc1cccc(/C=N\C2CCN(Cc3ccccc3)C2)c1,5.0,0
CHEMBL4210316,Cc1cccc(C(=O)N2Cc3cc(NC(=O)c4cccc(Cl)c4)ccc3CC2=O)c1,10.841336019186011,1
CHEMBL4218191,Cc1cccc(C(=O)N2Cc3cc(NC(=O)c4ccccc4)ccc3CC2=O)c1,10.5815329790534,1
CHEMBL5273978,Cc1cccc(C(=O)N2Cc3ccc(N4C(=O)c5ccccc5C4=O)cc3CC2=O)c1,7.593800576336688,1
CHEMBL4209803,Cc1cccc(C(=O)Nc2ccc3c(c2)CN(C(=O)c2cccc(C)c2)C(=O)C3)c1,10.869023308394382,1
CHEMBL4214707,Cc1cccc(C(=O)Nc2ccc3c(c2)CN(C(=O)c2cccc(Cl)c2)C(=O)C3)c1,10.679023322657176,1
